StudentID,CourseID,assResult,examResult,grade,gpa
S001,ME101,56,69,,
S001,ME102,78,68,,
S001,ME103,57,41,,
S001,ME104,56,64,,
S001,ME105,91,85,,
S002,CS101,95,95,,
S002,CS102,79,94,,
S002,CS103,93,73,,
S002,CS104,71,84,,
S002,CS105,85,91,,
S003,HM101,71,61,,
S003,HM102,82,72,,
S003,HM103,63,86,,
S003,HM104,79,83,,
S003,HM105,56,74,,
S004,ME106,90,91,,
S004,ME107,36,61,,
S004,ME108,76,91,,
S004,ME109,85,91,,
S004,ME110,64,65,,
S005,CS106,95,68,,
S005,CS107,74,91,,
S005,CS108,78,76,,
S005,CS109,71,91,,
S005,CS110,95,60,,
S006,HM106,67,77,,
S006,HM107,85,63,,
S006,HM108,89,81,,
S006,HM109,73,76,,
S006,HM110,85,82,,
S007,ME201,68,55,,
S007,ME202,30,28,,
S007,ME203,66,38,,
S007,ME204,48,34,,
S007,ME205,72,55,,
S008,CS201,83,90,,
S008,CS202,83,71,,
S008,CS203,86,87,,
S008,CS204,77,91,,
S008,CS205,74,75,,
S009,HM201,79,75,,
S009,HM202,89,93,,
S009,HM203,63,88,,
S009,HM204,70,73,,
S009,HM205,84,0,,
S010,ME206,32,30,,
S010,ME207,20,35,,
S010,ME208,36,42,,
S010,ME209,90,78,,
S010,ME210,45,37,,
S011,CS203,85,76,,
S011,CS206,90,95,,
S011,CS207,89,71,,
S011,CS208,76,88,,
S011,CS209,87,65,,
S011,CS210,91,66,,
S012,HM206,77,73,,
S012,HM207,91,91,,
S012,HM208,63,60,,
S012,HM209,32,46,,
S012,HM210,66,76,,
S013,ME301,84,0,,
S013,ME302,85,0,,
S013,ME303,70,73,,
S013,ME304,61,86,,
S014,CS301,92,0,,
S014,CS302,93,0,,
S014,CS303,96,75,,
S014,CS304,88,68,,
S015,HM301,71,65,,
S015,HM302,64,86,,
S015,HM303,83,61,,
S015,HM304,89,0,,
S016,ME305,83,91,,
S016,ME306,66,56,,
S016,ME307,86,68,,
S016,ME308,75,84,,
S017,CS305,79,0,,
S017,CS306,81,79,,
S017,CS307,67,67,,
S017,CS308,80,64,,
S018,HM305,55,69,,
S018,HM306,85,75,,
S018,HM307,69,74,,
S018,HM308,84,0,,
