studentID,courseID,semester,assScore,examScore,grade,gpa,attemptNum
S001,ME101,Y1S1,56,69,C+,2.70,1
S001,ME102,Y1S1,78,68,B+,3.30,1
S001,ME103,Y1S1,57,41,F,1.70,1
S001,ME104,Y1S1,56,64,C+,2.70,1
S001,ME105,Y1S1,91,85,A+,4.00,1
S002,CS101,Y1S1,64,75,B+,3.30,1
S002,CS102,Y1S1,79,85,A+,4.00,1
S002,CS103,Y1S1,83,73,A,3.70,1
S002,CS104,Y1S1,71,84,A,3.70,1
S002,CS105,Y1S1,85,91,A+,4.00,1
S003,HM101,Y1S1,71,61,B,3.00,1
S003,HM102,Y1S1,82,72,A,3.70,1
S003,HM103,Y1S1,63,86,A,3.70,1
S003,HM104,Y1S1,79,83,A+,4.00,1
S003,HM105,Y1S1,56,74,B,3.00,1
S004,ME106,Y1S2,72,84,A,3.70,1
S004,ME107,Y1S2,36,61,F,1.70,1
S004,ME108,Y1S2,76,61,B,3.00,1
S004,ME109,Y1S2,85,71,A,3.70,1
S004,ME110,Y1S2,64,65,B,3.00,1
S005,CS106,Y1S2,95,68,A+,4.00,1
S005,CS107,Y1S2,74,71,B+,3.30,1
S005,CS108,Y1S2,78,76,A,3.70,1
S005,CS109,Y1S2,71,83,A,3.70,1
S005,CS110,Y1S2,75,60,B,3.00,1
S006,HM101,Y1S1,85,65,A,3.70,1
S006,HM102,Y1S1,40,85,C+,2.70,1
S006,HM102,Y1S1,45,85,B,3.00,2
S006,HM102,Y1S1,48,85,B,3.00,3
S006,HM103,Y1S1,89,54,B+,3.30,1
S006,HM104,Y1S1,65,54,C+,2.70,1
S006,HM105,Y1S1,71,64,B,3.00,1
S006,HM106,Y1S2,67,77,B+,3.30,1
S006,HM107,Y1S2,85,63,B+,3.30,1
S006,HM108,Y1S2,89,81,A+,4.00,1
S006,HM109,Y1S2,73,76,A,3.70,1
S006,HM110,Y1S2,85,82,A+,4.00,1
S007,ME201,Y2S1,85,87,A+,4.00,1
S007,ME202,Y2S1,39,46,F,1.70,1
S007,ME203,Y2S1,41,38,F,1.70,1
S007,ME204,Y2S1,48,34,F,1.70,1
S007,ME205,Y2S1,49,45,F,1.70,1
S008,CS201,Y2S1,62,78,B+,3.30,1
S008,CS202,Y2S1,83,71,A,3.70,1
S008,CS203,Y2S1,86,87,A+,4.00,1
S008,CS204,Y2S1,77,84,A+,4.00,1
